Name,Ranking,usnews.com link,Tuition and Fees,Room and Board,Total Enrollment,School Type,Year Founded,Religiious Affiliation,Academic Calendar,Setting,2018 Endowment,Median starting salary of alumni,Acceptance_rate,student faculty ratio,Student_faculty_ratio,4-year graduation rate,Class sizes <20,Class sizes 20-49,Class sizes >50,Male,Female,,National Liberal Arts Colleges,Best Undergraduate Teaching,Best Value Schools,Most Innovative Schools,Top Performers on Social Mobility,First-Year Experiences,Learning Communities,Senior Capstone,Writing in the Disciplines,Study Abroad,Undergraduate Research/Creative Projects,,Average annual cost,Estimated cost of books and supplies,Estimated transportation cost,Estimated personal expenses,Average need based scholarship or grant award,Students who applied for need-based financial aid,Students determined to have financial need,Students whose need was fully met,Average need-based financial aid package (freshman),Students who received need-based financial aid,Average need-based scholarship or grant award (freshmen),Students who received need-based scholarship or grant aid (freshmen),Average need-based self-help aid award (freshmen),Students who received need-based self-help aid (freshmen),"Average need-based loan (excluding PLUS, unsubsidized, or other private loans)",Average percent of need met,Average non-need-based scholarship or grant award (freshmen),Average non-need-based athletic scholarship or grant award (freshmen),Student-faculty ratio,International full-time,International part-time,Ph.D or terminal degree,Minority full-time,Minority part-time,Full-time faculty,Part-time faculty,Full-time faculty male,Full-time faculty female,Part-time faculty male,Part-time faculty female,Number of majors,Freshmen_retention,International student retention,2017-2018 Employed Graduates Full-time,,Total undergraduate enrollment,Undergraduates who are first generation,Out-of-state students,International students,Registered clubs and organizations,Number of sports,,Peer_assessment,First_year_top_ten,Social Mobility rank
Randolph College,132,https://www.usnews.com/best-colleges/randolph-college-3734,"$41,131","$13,580",626,"Private, Coed",1891,United Methodist,Semester,Suburban,"$158,100,000.00","$45,200",87%,9,9:01,53%,86.20%,13.80%,0%,37%,63%,,132,,,,113,,,,,,,,"$25,614","$1,230","$1,070","$1,869","$32,316",92%,83%,21%,"$35,873",83%,"$32,316",83%,"$4,382",67%,"$3,933",79%,"$27,894",N/A,9:01,N/A,N/A,94%,13%,0%,68,1,38.20%,61.80%,N/A,100%,32,71%,N/A,N/A,,600,26%,23%,3.10%,40,1,,2.6,12%,113
Saint Vincent College,132,https://www.usnews.com/best-colleges/saint-vincent-college-3368,"$36,914","$11,802",1867,"Private, Coed",1846,None,Semester,Suburban,"$109,820.00","$48,700",68%,11,11:01,68%,53%,47%,0%,55%,45%,,132,,,,69,,,,,,,,"$20,909","$1,350",$500,"$1,250","$8,235",96%,84%,24%,"$33,082",84%,"$8,235",84%,"$4,575",66%,"$3,308",83%,"$21,602",N/A,11:01,2%,2%,92%,4%,4%,102,131,67.60%,32.40%,56.50%,43.50%,43,85%,N/A,N/A,,1676,27%,23%,0.70%,60,6,,2.3,22%,69
Salem College,132,https://www.usnews.com/best-colleges/salem-college-2960,"$30,266","$12,000",841,"Private, Women's college",1772,Moravian Church,04-01-04,City,"$60,700,000.00","$38,700",41%,10,10:01,59%,90%,10%,0%,3%,97%,,132,,,,4,,,,,,,,"$17,669","$1,280","$3,500","$1,325","$11,089",96%,91%,100%,"$33,093",91%,"$11,089",91%,"$3,764",70%,"$3,583",100%,"$21,902",N/A,10:01,0%,5%,90%,17%,20%,52,64,21.20%,78.80%,28.10%,71.90%,38,79%,100%,N/A,,703,33%,27%,0%,55,0,,2.3,44%,4
Illinois College,136,https://www.usnews.com/best-colleges/illinois-college-1688,"$33,740","$9,374",983,"Private, Coed",1829,None,Semester,Rural,"$137,800,000.00","$43,500",76%,13,13:01,65%,61.70%,38.30%,0%,49%,51%,,136,,,,63,,,,,,,,"$16,501",$0,$600,$900,"$24,661",94%,88%,22%,"$27,792",88%,"$24,661",88%,"$3,898",71%,"$2,910",82%,"$18,707",N/A,13:01,3%,4%,82%,9%,8%,66,24,54.50%,45.50%,45.80%,54.20%,49,78%,100%,61%,,983,31%,12%,5.80%,58,1,,2.6,15%,63
Marlboro College,136,https://www.usnews.com/best-colleges/marlboro-college-3690,"$27,485","$12,595",212,"Private, Coed",1946,None,Semester,Rural,"$36,400,000.00","$43,200",92%,4,4:01,56%,100%,0%,0%,44%,56%,,136,,,,12,,,,,,,,"$17,636","$1,200","$2,000",$70,"$34,189",91%,82%,11%,"$39,044",82%,"$34,189",82%,"$5,461",73%,"$4,147",86%,"$22,874",N/A,4:01,5%,0%,89%,8%,0%,37,9,45.90%,54.10%,33.30%,66.70%,185,68%,N/A,N/A,,146,N/A,N/A,2.10%,46,1,,2.3,,12
Moravian College,136,https://www.usnews.com/best-colleges/moravian-college-3301,"$45,312","$13,914",2514,"Private, Coed",1742,Moravian Church,Semester,City,"$116,200,000.00","$50,500",73%,11,11:01,64%,61.40%,37.70%,0.90%,39%,61%,,136,,,,60,,,,,,,,"$26,838","$1,200","$1,950",N/A,"$28,396",97%,87%,15%,"$32,139",87%,"$28,396",87%,"$4,839",63%,"$3,295",74%,"$23,305",N/A,11:01,1%,1%,92%,12%,8%,146,195,39.70%,60.30%,41.50%,58.50%,33,80%,89%,50%,,2139,29%,27%,4.20%,102,5,,2.5,17%,60
Simpson College,136,https://www.usnews.com/best-colleges/simpson-college-1887,"$40,666","$8,820",1444,"Private, Coed",1860,United Methodist,04-04-01,Suburban,,"$48,700",84%,10,10:01,64%,79.10%,19.80%,1%,47%,53%,,136,,,,96,,,,,,,,"$22,005","$1,238","$1,316","$1,968","$32,430",97%,91%,19%,"$36,741",91%,"$32,430",91%,"$3,608",71%,"$3,349",85%,"$23,144",N/A,10:01,2%,3%,83%,10%,6%,104,67,52.90%,47.10%,61.20%,38.80%,61,79%,N/A,72%,,1391,23%,18%,0.60%,56,3,,2.5,22%,96
Albion College,140,https://www.usnews.com/best-colleges/albion-college-2235,"$48,090","$12,380",1533,"Private, Coed",1835,United Methodist,Semester,Suburban,"$174,300,000.00","$48,500",68%,11,11:01,53%,58.50%,41.50%,0%,46%,54%,,140,,,,63,88,,,,,,,"$17,863",$700,$250,$550,"$41,726",93%,86%,21%,"$46,451",86%,"$41,726",86%,"$5,525",73%,"$4,232",93%,"$32,013",N/A,11:01,5%,0%,94%,10%,10%,117,51,51.30%,48.70%,54.90%,45.10%,67,79%,100%,55%,,1533,28%,26%,1.70%,110,2,,2.8,,63
Birmingham-Southern College,140,https://www.usnews.com/best-colleges/birminghamsouthern-college-1012,"$18,238","$12,402",1268,"Private, Coed",1856,United Methodist,04-01-04,Urban,,"$47,400",57%,12,12:01,63%,68.50%,31.10%,0.30%,48%,52%,,140,,,,213,,,,,,,,"$22,853","$1,260","$1,500","$1,270","$6,651",87%,64%,19%,"$15,153",64%,"$6,651",64%,"$3,889",56%,"$3,227",58%,"$6,618",N/A,12:01,0%,0%,91%,7%,14%,96,37,57.30%,42.70%,45.90%,54.10%,32,81%,N/A,N/A,,1268,17%,39%,1.20%,76,4,,2.8,20%,213
Eckerd College,140,https://www.usnews.com/best-colleges/eckerd-college-1487,"$46,096","$13,026",1999,"Private, Coed",1958,None,04-01-04,N/A,"$58,300,000.00","$46,200",68%,12,12:01,63%,51.80%,47.90%,0.20%,34%,66%,,140,,,,200,,,,,,,,"$32,718","$1,350","$1,500","$1,600","$27,019",86%,68%,17%,"$37,381",68%,"$27,019",68%,"$4,430",59%,"$2,964",88%,"$17,455","$30,940",12:01,1%,1%,88%,13%,7%,151,29,53%,47%,27.60%,72.40%,40,81%,82%,N/A,,1999,20%,N/A,3.50%,109,10,,2.9,,200
Massachusetts College of Liberal Arts,140,https://www.usnews.com/best-colleges/mcla-2187,,"$11,430",1452,"Public, Coed",1894,None,Semester,Rural,"$12,800,000.00","$42,600",74%,11,11:01,44%,73.70%,26.30%,0%,38%,62%,,140,,,,45,,,,,,,,"$17,549",N/A,N/A,N/A,"$8,488",100%,82%,80%,"$16,354",82%,"$8,488",82%,"$3,196",80%,"$2,679",78%,"$2,798",N/A,11:01,0%,0%,89%,11%,9%,90,82,48.90%,51.10%,41.50%,58.50%,42,74%,N/A,N/A,,1277,33%,25%,0.50%,53,1,,2.5,23%,45
Presbyterian College,140,https://www.usnews.com/best-colleges/presbyterian-college-3445,"$39,460","$10,680",1330,"Private, Coed",1880,Presbyterian Church (USA),Semester,Rural,"$91,900,000.00","$43,700",69%,12,12:01,61%,65%,34.70%,0.30%,48%,53%,,140,,,,127,,,,,,,,"$18,504","$1,200","$1,500","$1,070","$33,021",95%,81%,27%,"$38,329",81%,"$33,021",81%,"$4,546",53%,"$3,328",88%,"$21,146","$15,509",12:01,0%,0%,94%,9%,0%,77,30,59.70%,40.30%,46.70%,53.30%,31,80%,86%,54%,,1080,20%,30%,4.30%,60,4,,2.8,21%,127
Franklin College,145,https://www.usnews.com/best-colleges/franklin-college-1798,"$32,970","$10,244",982,"Private, Coed",1834,None,04-01-04,Suburban,"$87,600,000.00","$50,100",75%,11,11:01,56%,71.90%,28.10%,0%,49%,51%,,145,,,,56,,,,,,,,"$21,783","$1,200","$1,200","$1,800","$22,660",96%,89%,13%,"$25,932",89%,"$22,660",89%,"$3,845",76%,"$2,730",75%,"$17,462",N/A,11:01,4%,0%,82%,12%,15%,74,41,56.80%,43.20%,36.60%,63.40%,30,76%,N/A,64%,,960,29%,7%,0.20%,62,1,,2.6,13%,56
St.Norbert College,145,https://www.usnews.com/best-colleges/st-norbert-college-3892,"$39,529","$10,435",2228,"Private, Coed",1898,Roman Catholic,Semester,Suburban,"$146,300,000.00","$45,200",78%,14,14:01,66%,41%,59%,0%,41%,59%,,145,,,,99,,,,,,,,"$24,930",$950,$350,$750,"$23,932",91%,76%,32%,"$28,196",76%,"$23,932",74%,"$28,196",61%,"$3,343",81%,"$16,951",N/A,14:01,1%,2%,91%,12%,6%,139,64,52.50%,47.50%,56.30%,43.80%,,84%,56%,56%,,2132,21%,21%,1.80%,106,12,,,,N/A
Wesleyan College,145,https://www.usnews.com/best-colleges/wesleyan-college-1600,"$23,770","$10,060",765,"Private, Women's college",1836,United Methodist,Semester,Suburban,"$60,000,000.00","$41,000",48%,8,8:01,45%,77.10%,22.90%,0%,8%,92%,,145,,,,96,,,,,,,,"$14,974",$0,$800,"$1,200","$20,352",100%,94%,20%,"$22,938",94%,"$20,352",94%,"$3,665",66%,"$3,539",80%,"$14,518",N/A,8:01,0%,0%,77%,7%,27%,56,48,32.10%,67.90%,41.70%,58.30%,23,74%,N/A,56%,,725,35%,9%,9.20%,26,1,,2.9,19%,96
Covenant College,148,https://www.usnews.com/best-colleges/covenant-college-3484,"$35,640","$10,660",1046,"Private, Coed",1955,The Presbyterian Church in America,Semester,Suburban,"$42,000,000.00","$42,100",97%,13,13:01,65%,57.20%,40.40%,2.40%,48%,52%,,148,,,,72,,,,,,,,"$22,202","$1,170","$1,080",$870,"$24,512",90%,73%,42%,"$28,622",73%,"$24,512",73%,"$6,741",61%,"$5,367",80%,"$19,097",N/A,13:01,2%,3%,92%,11%,3%,62,40,75.80%,24.20%,45%,55%,29,86%,100%,63%,,1002,N/A,70%,3.90%,37,4,,2.3,28%,72
Emory and Henry College,148,https://www.usnews.com/best-colleges/emory-and-henry-college-3709,"$35,100","$12,100",1246,"Private, Coed",1836,United Methodist,Semester,Rural,"$89,600,000.00","$36,000",69%,10,10:01,48%,75%,24.40%,0.60%,47%,53%,,148,,,,86,,,,,,,,"$19,340","$1,200","$1,000","$1,400","$29,408",99%,91%,23%,"$32,837",91%,"$29,408",91%,"$4,330",72%,"$3,410",74%,"$19,115",N/A,10:01,0%,0%,80%,4%,3%,100,77,44%,56%,50.60%,49.40%,61,73%,100%,N/A,,979,27%,35%,0.40%,70,3,,2.7,17%,86
Meredith College,148,https://www.usnews.com/best-colleges/meredith-college-2945,"$38,620","$11,364",1905,"Private, Women's college",1891,None,Semester,Urban,"$113,500,000.00","$41,400",63%,11,11:01,55%,69.70%,30.30%,0%,0%,100%,,148,60,,,113,,,,,,,,"$24,545",$850,$590,$900,"$26,768",93%,77%,29%,"$33,644",77%,"$26,768",77%,"$3,061",68%,"$2,223",83%,"$18,461",N/A,11:01,1%,1%,90%,8%,12%,134,86,31.30%,68.70%,26.70%,73.30%,48,79%,100%,N/A,,1603,22%,9%,1.40%,100,0,,2.6,17%,113
University of Minnesota--Morris,148,https://www.usnews.com/best-colleges/minnesota-morris-2389,,"$8,632",1554,"Public, Coed",1959,None,Semester,Rural,"$15,600,000.00","$42,500",63%,11,11:01,52%,68%,30.10%,1.80%,43%,57%,,148,,,,132,,,,,,,,"$11,051",$800,$500,"$1,350","$10,687",95%,71%,27%,"$12,823",71%,"$10,687",71%,"$4,074",44%,"$2,961",75%,"$3,484",N/A,11:01,5%,3%,93%,13%,3%,125,33,58.40%,41.60%,45.50%,54.50%,34,78%,N/A,N/A,,1554,20%,15%,10.80%,117,8,,2.7,31%,132
University of North Carolina--Asheville,148,https://www.usnews.com/best-colleges/unc-asheville-2907,,"$9,380",3762,"Public, Coed",1927,None,Semester,City,"$49,100,000.00","$40,600",82%,13,13:01,46%,47%,51.80%,1.20%,43%,57%,,148,,,50,21,,,,,,,,"$12,763","$1,200","$1,100","$1,300","$8,006",96%,64%,22%,"$12,982",64%,"$8,006",64%,"$4,165",43%,"$4,006",76%,"$1,901","$8,563",13:01,4%,1%,87%,16%,9%,221,99,52%,48%,57.60%,42.40%,33,76%,57%,24%,,3743,22%,12%,0.90%,85,7,,3.1,17%,21
Wartburg College,148,https://www.usnews.com/best-colleges/wartburg-college-1896,"$43,930","$9,280",1498,"Private, Coed",1852,Evangelical Lutheran Church,04-04-01,Rural,"$76,700,000.00","$49,300",76%,11,11:01,63%,54.10%,44.40%,1.50%,47%,53%,,148,,,,144,,,,,,,,"$22,950","$1,100",$600,$700,"$30,374",93%,82%,25%,82%,82%,"$30,374",82%,"$5,855",62%,62%,89%,"$27,639",N/A,11:01,3%,2%,90%,11%,8%,93,65,55.90%,44.10%,61.50%,38.50%,21,80%,81%,68%,,1498,17%,30%,7.60%,86,13,,,,N/A
Guilford College,154,https://www.usnews.com/best-colleges/guilford-college-2931,"$38,410","$11,800",1576,"Private, Coed",1837,Friends,Semester,Suburban,"$86,700,000.00","$43,800",64%,12,12:01,51%,72.20%,27.80%,0%,49%,51%,,154,,,,72,,,,,,,,"$23,560","$1,650","$1,260","$1,600","$13,608",97%,66%,32%,"$31,656",66%,"$13,608",66%,"$6,536",62%,"$6,552",88%,"$14,003",N/A,12:01,11%,11%,86%,19%,20%,94,86,45.70%,54.30%,54.70%,45.30%,42,69%,N/A,N/A,,1567,26%,29%,1%,43,5,,3,12%,72
Morehouse College,154,https://www.usnews.com/best-colleges/morehouse-college-1582,"$27,576","$13,438",2206,"Private, Men's college",1867,None,Semester,Urban,,"$51,200",58%,14,14:01,43%,N/A,N/A,N/A,100%,0%,,154,25,,21,12,,,,,,,,"$34,928","$2,088","$3,000","$2,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:01,0%,0%,N/A,63%,100%,154,4,61.70%,38.30%,75%,25%,27,80%,N/A,N/A,,2206,20%,72%,0.70%,74,5,,3.4,2%,12
Sweet Briar College,154,https://www.usnews.com/best-colleges/sweet-briar-college-3742,"$22,020","$13,200",337,"Private, Women's college",1901,None,Semester,Suburban,"$74,800,000.00","$41,300",76%,7,7:01,42%,92.20%,6.90%,0.90%,3%,97%,,154,,,,105,,,,,,,,"$21,291","$1,250",N/A,"$1,300","$15,966",92%,72%,10%,"$17,903",72%,"$15,966",72%,"$2,974",58%,"$2,942",63%,"$9,197",N/A,7:01,0%,0%,80%,2%,0%,45,12,48.90%,51.10%,58.30%,41.70%,15,57%,N/A,N/A,,336,23%,53%,2.60%,31,4,,2.2,22%,105
Centenary College of Louisiana,157,https://www.usnews.com/best-colleges/centenary-college-of-louisiana-2003,"$37,310","$13,670",585,"Private, Coed",1825,United Methodist,Semester,City,"$132,400,000.00","$42,500",60%,9,9:01,N/A,74.70%,25.30%,0%,43%,57%,,157,,,,160,,,,,,,,"$24,704","$1,300","$1,300","$1,920","$30,211",97%,84%,29%,"$33,380",84%,"$30,211",84%,"$4,663",61%,"$3,794",78%,"$26,479",N/A,9:01,N/A,N/A,96%,N/A,N/A,55,28,63.60%,36.40%,60.70%,39.30%,23,75%,N/A,N/A,,552,22%,43%,1.50%,75,1,,2.4,23%,160
Georgetown College,157,https://www.usnews.com/best-colleges/georgetown-college-1964,"$39,810","$10,160",1608,"Private, Coed",1829,None,Semester,Suburban,"$41,700,000.00","$41,900",48%,11,11:01,53%,83.10%,16.90%,0%,45%,55%,,157,,,,58,,,,,,,,"$20,769","$1,250",$678,"$1,620","$24,919",99%,94%,22%,"$35,296",94%,"$24,919",94%,"$6,395",68%,"$2,538",83%,"$19,000","$8,213",11:01,1%,0%,94%,4%,4%,78,77,50%,50%,32.50%,67.50%,35,68%,N/A,N/A,,961,33%,N/A,0.40%,100,2,,2.5,17%,58
Westminster College,157,https://www.usnews.com/best-colleges/westminster-college-pennsylvania-3392,"$37,300","$11,450",1266,"Private, Coed",1852,Presbyterian Church (USA),Semester,Rural,"$123,400,000.00","$43,500",66%,11,11:01,63%,66.50%,32.90%,0.60%,48%,52%,,157,,,,19,,,,,,,,"$21,618","$1,700",N/A,$800,"$27,087",98%,91%,18%,"$30,133",91%,"$27,087",91%,"$3,769",66%,"$3,379",77%,"$17,184",N/A,11:01,0%,0%,90%,3%,9%,87,55,52.90%,47.10%,50.90%,49.10%,53,79%,N/A,N/A,,1196,26%,28%,0.30%,87,4,,2.7,13%,19
Central College,160,https://www.usnews.com/best-colleges/central-college-1850,,,,"Private, Coed",1853,None,Semester,Rural,,"$47,000",70%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,160,,,,121,,,,,,,,"$22,558",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,80%,N/A,N/A,,N/A,21%,N/A,N/A,80,2,,2.6,,121
Hartwick College,160,https://www.usnews.com/best-colleges/hartwick-college-2729,"$46,926","$12,834",1176,"Private, Coed",1797,None,04-01-04,Rural,"$77,300,000.00","$50,600",80%,10,10:01,53%,66%,33.30%,0.60%,41%,59%,,160,,,,29,,,,,,,,"$26,136",$700,$300,$400,"$35,982",93%,86%,15%,"$40,326",86%,"$35,982",86%,"$5,326",72%,"$3,604",82%,"$31,302",N/A,10:01,0%,0%,89%,11%,11%,98,63,50%,50%,42.90%,57.10%,31,72%,83%,39%,,1176,27%,21%,2.50%,70,6,,2.6,8%,29
Warren Wilson College,160,https://www.usnews.com/best-colleges/warren-wilson-2979,"$37,364","$11,300",739,"Private, Coed",1894,None,Semester,Suburban,"$52,600,000.00","$37,700",83%,10,10:01,47%,76.40%,23.60%,0%,35%,65%,,160,,,35,31,,,,,,,,"$25,117",$850,"$1,990","$1,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:01,2%,0%,95%,16%,3%,55,36,41.80%,58.20%,50%,50%,22,62%,N/A,N/A,,657,20%,61%,1.90%,35,5,,2.7,13%,31
Wittenberg University,160,https://www.usnews.com/best-colleges/wittenberg-university-3143,"$40,280","$10,564",1801,"Private, Coed",1845,Evangelical Lutheran Church,Semester,City,"$116,000,000.00","$48,400",90%,12,12:01,56%,57.10%,42%,0.90%,45%,55%,,160,,,,148,,,,,,,,"$24,263","$1,000",$400,"$1,600","$31,156",96%,85%,32%,"$35,245",85%,"$31,156",85%,"$4,218",84%,"$3,358",85%,"$22,445",N/A,12:01,1%,0%,91%,12%,16%,121,67,54.50%,45.50%,49.30%,50.70%,43,74%,57%,53%,,1757,24%,22%,0.80%,100,11,,2.8,16%,148
Albright College,164,https://www.usnews.com/best-colleges/albright-college-3229,"$25,642","$12,480",1934,"Private, Coed",1856,United Methodist,04-01-04,Suburban,"$69,300,000.00","$49,600",62%,14,14:01,44%,59.40%,40.10%,0.60%,40%,60%,,164,,,,31,,,,,,,,"$23,258","$1,000",$400,"$1,860","$39,888",99%,95%,13%,"$43,904",95%,"$39,888",95%,"$4,556",95%,"$3,135",89%,"$26,296",N/A,14:01,1%,4%,85%,18%,2%,97,51,52.60%,47.40%,39.20%,60.80%,69,72%,75%,N/A,,1912,36%,42%,1.80%,52,1,,2.5,14%,31
Allen University,165,https://www.usnews.com/best-colleges/allen-university-3417,,,,"Private, Coed",1870,None,Semester,City,,"$31,000",N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,165,,,,31,,,,,,,,"$15,957",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,41%,N/A,N/A,,N/A,51%,N/A,N/A,11,2,,1.9,,31
Aquinas College,166,https://www.usnews.com/best-colleges/aquinas-college-2239,"$33,854","$9,598",1758,"Private, Coed",1886,Roman Catholic,Semester,City,"$43,700,000.00","$40,700",69%,10,10:01,37%,71.80%,28%,0.20%,41%,59%,,166,,,,84,,,,,,,,"$16,927",$930,$882,$900,"$24,084",92%,82%,26%,"$26,060",82%,"$24,084",82%,"$1,976",64%,"$1,976",79%,"$18,497","$8,121",10:01,0%,0%,84%,9%,7%,88,140,55.70%,44.30%,49.30%,50.70%,75,78%,88%,63%,,1578,22%,8%,3.30%,45,1,,2.4,,84
Ave Maria University,167,https://www.usnews.com/best-colleges/ave-maria-university-39413,"$21,850","$11,990",1123,"Private, Coed",2003,None,Semester,Suburban,"$4,600,000.00","$38,200",83%,13,13:01,N/A,64.50%,35.50%,0%,48%,52%,,167,,,,99,,,,,,,,"$18,929","$1,260","$1,855","$1,050","$18,717",87%,70%,31%,"$20,218",70%,"$18,717",70%,"$3,232",41%,"$3,101",83%,"$13,038","$5,291",13:01,N/A,N/A,96%,N/A,N/A,71,26,70.40%,29.60%,65.40%,34.60%,21,70%,73%,N/A,,1088,18%,N/A,2.30%,58,9,,2.1,,99
Bennett College,168,https://www.usnews.com/best-colleges/bennett-college-2911,"$18,513","$8,114",534,"Private, Women's college",1873,United Methodist,Semester,Urban,"$13,100,000.00","$41,900",96%,11,11:01,20%,66.30%,32.70%,1%,0%,100%,,168,51,,,86,,,,,,,,"$23,018",$300,"$2,600","$3,200",N/A,100%,97%,N/A,N/A,97%,N/A,97%,N/A,N/A,N/A,N/A,N/A,N/A,11:01,0%,0%,72%,78%,92%,36,25,33.30%,66.70%,24%,76%,15,49%,N/A,N/A,,534,32%,50%,0%,29,0,,2.2,3%,86
Bethany College,169,https://www.usnews.com/best-colleges/bethany-college-west-virginia-3808,"$30,666","$11,108",584,"Private, Coed",1840,Christian Church (Disciples of Christ),Semester,Rural,"$42,000,000.00","$43,400",91%,11,11:01,28%,87.70%,11.90%,0.40%,60%,40%,,169,,,,179,,,,,,,,"$20,337","$1,300","$1,100","$1,430","$27,090",95%,92%,50%,"$30,960",92%,"$27,090",92%,"$3,870",78%,"$3,487",79%,N/A,N/A,11:01,0%,25%,96%,4%,13%,48,8,62.50%,37.50%,62.50%,37.50%,27,65%,50%,65%,,560,34%,N/A,3.60%,65,0,,2.3,5%,179
Bethany Lutheran College,170,https://www.usnews.com/best-colleges/bethany-college-west-virginia-3808,"$30,666","$11,108",584,"Private, Coed",1840,Christian Church (Disciples of Christ),Semester,Rural,"$42,000,000.00","$43,400",91%,11,11:01,28%,87.70%,11.90%,0.40%,60%,40%,,170,,,,179,,,,,,,,"$17,005",$800,$200,"$1,850","$20,921",84%,76%,26%,"$24,414",76%,"$20,921",76%,"$4,341",61%,"$3,485",89%,"$13,468",N/A,12:01,0%,4%,56%,2%,7%,41,28,63.40%,36.60%,67.90%,32.10%,29,80%,N/A,N/A,,739,N/A,24%,9.80%,19,0,,2.1,4%,42
Bethune-Cookman University,171,https://www.usnews.com/best-colleges/bethunecookman-university-1467,"$14,814","$9,462",3773,"Private, Coed",1904,None,Semester,Urban,"$41,600,000.00","$42,600",79%,17,17:01,14%,49.10%,47.70%,3.30%,38%,62%,,171,,,,60,88,,,,,,,"$19,252",N/A,N/A,N/A,"$12,128",98%,95%,4%,"$15,382",95%,"$12,128",95%,"$3,932",86%,"$3,824",55%,"$10,401","$16,144",17:01,2%,0%,70%,41%,0%,174,87,54%,46%,43.70%,56.30%,44,64%,73%,N/A,,3620,42%,26%,2.70%,77,2,,2.3,3%,60
Blackburn College,172,https://www.usnews.com/best-colleges/blackburn-college-1639,"$23,510","$8,100",566,"Private, Coed",1837,Presbyterian Church (USA),Semester,Rural,"$22,800,000.00","$39,400",54%,11,11:01,34%,78.70%,20.90%,0.40%,40%,60%,,172,,,,10,,,,,,,,"$12,118",$400,$660,"$1,700","$13,062",98%,94%,90%,"$19,499",94%,"$13,062",94%,"$4,216",94%,"$2,970",90%,"$3,581",N/A,11:01,0%,0%,89%,8%,5%,38,37,55.30%,44.70%,43.20%,56.80%,59,64%,N/A,N/A,,566,44%,11%,2.10%,35,1,,2.2,10%,10
Bloomfield College,173,https://www.usnews.com/best-colleges/bloomfield-college-2597,"$29,550","$11,950",,"Private, Coed",1868,Presbyterian Church (USA),Semester,Suburban,,"$44,700",64%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,173,,,,108,,,,,,,,"$19,236","$1,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,66%,N/A,N/A,,N/A,51%,N/A,N/A,48,0,,2.1,10%,108
Brewton-Parker College,174,https://www.usnews.com/best-colleges/brewtonparker-college-1557,,,,"Private, Coed",1904,None,Semester,Rural,,"$38,500",99%,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,174,,,,148,,,,,,,,"$17,782",$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,39%,N/A,N/A,,,,N/A,N/A,,,,1.9,,148
Bridgewater College,175,https://www.usnews.com/best-colleges/bridgewater-college-3704,"$36,600","$12,970",1857,"Private, Coed",1880,Church of Brethren,Semester,Rural,"$93,100,000.00","$40,900",66%,14,14:01,58%,46.60%,53.40%,0%,44%,56%,,175,,,,144,,,,,,,,"$19,538","$1,150","$1,200","$1,080","$32,686",95%,87%,30%,"$35,504",87%,"$32,686",87%,"$3,851",64%,"$3,313",88%,"$24,025",N/A,14:01,0%,0%,83%,14%,15%,116,53,51.70%,48.30%,54.70%,45.30%,17,75%,80%,32%,,,,25%,1.60%,87,13,,,,N/A
Chowan University,175,https://www.usnews.com/best-colleges/chowan-university-2916,"$25,480","$9,500",1399,"Private, Coed",1848,Baptist,Semester,Rural,"$26,100,000.00","$42,500",59%,16,16:01,14%,51%,48%,0.90%,49%,51%,,175,,,,127,,,,,,,,"$17,569","$1,000",$500,$760,"$6,240",98%,95%,5%,"$22,443",95%,"$6,240",95%,"$3,324",88%,"$3,117",71%,"$9,335","$6,794",16:01,2%,0%,75%,9%,16%,65,58,50.80%,49.20%,58.60%,41.40%,39,49%,100%,N/A,,1395,37%,43%,2.60%,36,2,,2,2%,127
